SAP,Alias,Direccion,RUC,Ciudad
GRD030 PATIO 12 DE OCTUBRE,PATIO 12 DE OCTUBRE,12 DE OCTUBRE Y CRISTOBAL COLON,0190457354001,CUENCA
GRD018 PATIO GUAYAQUIL LAS AMERICAS,PATIO GUAYAQUIL LAS AMERICAS,AV LAS AMERICAS Y EL TERMINAL 2,0190401030001,GUAYAQUIL
GRD028 YANTZASA-PUYO,PATIO YANTZAZA,AV. CUXIBAMBA Y TULCAN ESQUINA,0190413993001,YANTZAZA
GRD040 PATIO QUITO NORTE,PATIO QUITO NORTE,AV. GALO PLAZA Y FRANCISCO DALMAU,0190316025001, QUITO NORTE
GRD014 PATIO LOJA,PATIO LOJA,AV. ISIDRO AYORA Y AV. VELASCO IBARRA,0190316025001,LOJA
GRD041 MATRIZ CUENCA,MATRIZ CUENCA,AV. ESPANA 8-99 SEVILLA,0190316025001,CUENCA
GRD046 MATRIZ CUENCA,MATRIZ CUENCA,(AVDA. ESPANA Y SEGOVIA FRENTE A SECOHI),0190413993001,CUENCA
GRD030 PATIO 12 DE OCTUBRE,PATIO 12 DE OCTUBRE,(AV 12 DE OCTUBRE Y CRISTOBAL COLON),0190401030001,CUENCA
,,,,
,,,,
,,,,
