ParentKey	ItemCode	Quantity	WarehouseCode	ShipToCode
DocNum	ItemCode	Quantity	WhsCode	CogsOcrCo5
100004	OFI0031	3	7	PATIO RIOBAMBA
100004	PRU002	2	1	PATIO RIOBAMBA
100004	OFI0276	1	7	PATIO RIOBAMBA
100004	OFI0042	5	7	PATIO RIOBAMBA
100004	OFI0077	2	7	PATIO RIOBAMBA
100004	OFI0174	2	7	PATIO RIOBAMBA
100004	OFI0051	2	7	PATIO RIOBAMBA
100004	OFI0089	1	7	PATIO RIOBAMBA
100004	OFI0040	3	7	PATIO RIOBAMBA
100004	OFI0028	3	7	PATIO RIOBAMBA
100004	OFI0260	1	7	PATIO RIOBAMBA
100004	PRU003	2	1	PATIO RIOBAMBA
100004	OFI0064	2	7	PATIO RIOBAMBA
100004	OFI0065	2	7	PATIO RIOBAMBA
100004	OFI0274	1	7	PATIO RIOBAMBA
100004	OFI0273	1	7	PATIO RIOBAMBA
100004	OFI0275	1	7	PATIO RIOBAMBA
100004	OFI0221	2	7	PATIO RIOBAMBA
100004	OFI0286	2	7	PATIO RIOBAMBA
100004	ABS0112	1	1	PATIO RIOBAMBA
100004	COM5424	1	1	PATIO RIOBAMBA
100004	COM5220	2	1	PATIO RIOBAMBA
100004	COM5468	3	1	PATIO RIOBAMBA
100004		2	05	PATIO RIOBAMBA
100004	COM5585	1	1	PATIO RIOBAMBA
100004	COM5598	1	1	PATIO RIOBAMBA
100004		1	05	PATIO RIOBAMBA
100004		1	05	PATIO RIOBAMBA
100004	OFI0069	1	7	PATIO RIOBAMBA
100004	ABS0373	4	1	PATIO RIOBAMBA
100004	OFI0252	1	7	PATIO RIOBAMBA
100004	OFI0306	2	7	PATIO RIOBAMBA
100004	ABS0425	2	1	PATIO RIOBAMBA
100004	OFI0219	2	7	PATIO RIOBAMBA
100004	COM5256	2	1	PATIO RIOBAMBA
100004	COM5245	1	1	PATIO RIOBAMBA
100004	QUI0090	1	1	PATIO RIOBAMBA
100004	QUI0173	1	1	PATIO RIOBAMBA
100004	QUI0144	1	1	PATIO RIOBAMBA
100004	QUI0572	1	1	PATIO RIOBAMBA
100004	QUI0080	1	1	PATIO RIOBAMBA
100004	COM5404	2	1	PATIO RIOBAMBA
