ParentKey	ItemCode	Quantity	WarehouseCode	ShipToCode
DocNum	ItemCode	Quantity	WhsCode	CogsOcrCo5
100027	OFI0031	3	7	PATIO
100027	PRU002	2	1	PATIO
100027	OFI0276	1	7	PATIO
100027	OFI0042	5	7	PATIO
100027	OFI0077	2	7	PATIO
100027	OFI0174	2	7	PATIO
100027	OFI0051	2	7	PATIO
100027	OFI0089	1	7	PATIO
100027	OFI0040	3	7	PATIO
100027	OFI0028	3	7	PATIO
100027	OFI0260	1	7	PATIO
100027	PRU003	2	1	PATIO
100027	OFI0064	2	7	PATIO
100027	OFI0065	2	7	PATIO
100027	OFI0274	1	7	PATIO
100027	OFI0273	1	7	PATIO
100027	OFI0275	1	7	PATIO
100027	OFI0221	2	7	PATIO
100027	OFI0286	2	7	PATIO
100027	ABS0112	1	1	PATIO
100027	COM5424	1	1	PATIO
100027	COM5220	2	1	PATIO
100027	COM5468	3	1	PATIO
100027	COM5367	2	1	PATIO
100027	COM5585	1	1	PATIO
100027	COM5598	1	1	PATIO
100027	PRU010	1	1	PATIO
100027	COM001	1	1	PATIO
100027	OFI0069	1	7	PATIO
100027	ABS0373	4	1	PATIO
100027	OFI0252	1	7	PATIO
100027	OFI0306	2	7	PATIO
100027	ABS0425	2	1	PATIO
100027	OFI0219	2	7	PATIO
100027	COM5256	2	1	PATIO
100027	COM5245	1	1	PATIO
100027	QUI0090	1	1	PATIO
100027	QUI0173	1	1	PATIO
100027	QUI0144	1	1	PATIO
100027	QUI0572	1	1	PATIO
100027	QUI0080	1	1	PATIO
100027	COM5404	2	1	PATIO
100027	COM5103	5	1	PATIO
100027	COM5254	2	1	PATIO
100027	COM5253	2	1	PATIO
100027	COM5160	3	1	PATIO
100027	COM5141	1	1	PATIO
100027	COM5407	1	1	PATIO
100027	COM5398	2	1	PATIO
100027	COM5590	3	1	PATIO
100027	TTS0028	1	1	PATIO
100027	COM0037	1	1	PATIO
100028	OFI0031	3	7	PATIO
100028	PRU002	2	1	PATIO
100028	OFI0276	1	7	PATIO
100028	OFI0042	5	7	PATIO
100028	OFI0077	2	7	PATIO
100028	OFI0174	2	7	PATIO
100028	OFI0051	2	7	PATIO
100028	OFI0089	1	7	PATIO
100028	OFI0040	3	7	PATIO
100028	OFI0028	3	7	PATIO
100028	OFI0260	1	7	PATIO
100028	PRU003	2	1	PATIO
100028	OFI0064	2	7	PATIO
100028	OFI0065	2	7	PATIO
100028	OFI0274	1	7	PATIO
100028	OFI0273	1	7	PATIO
100028	OFI0275	1	7	PATIO
100028	OFI0221	2	7	PATIO
100028	OFI0286	2	7	PATIO
100028	ABS0112	1	1	PATIO
100028	COM5424	1	1	PATIO
100028	COM5220	2	1	PATIO
100028	COM5468	3	1	PATIO
100028	COM5367	2	1	PATIO
100028	COM5585	1	1	PATIO
100028	COM5598	1	1	PATIO
100028	PRU010	1	1	PATIO
100028	COM001	1	1	PATIO
100028	OFI0069	1	7	PATIO
100028	ABS0373	4	1	PATIO
100028	OFI0252	1	7	PATIO
100028	OFI0306	2	7	PATIO
100028	ABS0425	2	1	PATIO
100028	OFI0219	2	7	PATIO
100028	COM5256	2	1	PATIO
100028	COM5245	1	1	PATIO
100028	QUI0090	1	1	PATIO
100028	QUI0173	1	1	PATIO
100028	QUI0144	1	1	PATIO
100028	QUI0572	1	1	PATIO
100028	QUI0080	1	1	PATIO
100028	COM5404	2	1	PATIO
100028	COM5103	5	1	PATIO
100028	COM5254	2	1	PATIO
100028	COM5253	2	1	PATIO
100028	COM5160	3	1	PATIO
100028	COM5141	1	1	PATIO
100028	COM5407	1	1	PATIO
100028	COM5398	2	1	PATIO
100028	COM5590	3	1	PATIO
100028	TTS0028	1	1	PATIO
100028	COM0037	1	1	PATIO
