ParentKey	ItemCode	Quantity	WarehouseCode	ShipToCode
DocNum	ItemCode	Quantity	WhsCode	CogsOcrCo5
100024	QUI0173	1	1	PATIO
100024	QUI0144	1	1	PATIO
100024	QUI0572	1	1	PATIO
100024	QUI0080	1	1	PATIO
100024	COM5404	2	1	PATIO
100024	COM5103	5	1	PATIO
100024	COM5254	2	1	PATIO
100024	COM5253	2	1	PATIO
100024	COM5160	3	1	PATIO
100024	COM5141	1	1	PATIO
100024	COM5407	1	1	PATIO
100024	COM5398	2	1	PATIO
100024	COM5590	3	1	PATIO
100024	TTS0028	1	1	PATIO
100024	COM0037	1	1	PATIO
100025	OFI0031	3	7	PATIO
100025	PRU002	2	1	PATIO
100025	OFI0276	1	7	PATIO
100025	OFI0042	5	7	PATIO
100025	OFI0077	2	7	PATIO
100025	OFI0174	2	7	PATIO
100025	OFI0051	2	7	PATIO
100025	OFI0089	1	7	PATIO
100025	OFI0040	3	7	PATIO
100025	OFI0028	3	7	PATIO
100025	OFI0260	1	7	PATIO
100025	PRU003	2	1	PATIO
100025	OFI0064	2	7	PATIO
100025	OFI0065	2	7	PATIO
100025	OFI0274	1	7	PATIO
100025	OFI0273	1	7	PATIO
100025	OFI0275	1	7	PATIO
100025	OFI0221	2	7	PATIO
100025	OFI0286	2	7	PATIO
100025	ABS0112	1	1	PATIO
100025	COM5424	1	1	PATIO
100025	COM5220	2	1	PATIO
100025	COM5468	3	1	PATIO
100025	COM5367	2	1	PATIO
100025	COM5585	1	1	PATIO
100025	COM5598	1	1	PATIO
100025	PRU010	1	1	PATIO
100025	COM001	1	1	PATIO
100025	OFI0069	1	7	PATIO
100025	ABS0373	4	1	PATIO
100025	OFI0252	1	7	PATIO
100025	OFI0306	2	7	PATIO
100025	ABS0425	2	1	PATIO
100025	OFI0219	2	7	PATIO
100025	COM5256	2	1	PATIO
100025	COM5245	1	1	PATIO
100025	QUI0090	1	1	PATIO
100025	QUI0173	1	1	PATIO
100025	QUI0144	1	1	PATIO
100025	QUI0572	1	1	PATIO
100025	QUI0080	1	1	PATIO
100025	COM5404	2	1	PATIO
100025	COM5103	5	1	PATIO
100025	COM5254	2	1	PATIO
100025	COM5253	2	1	PATIO
100025	COM5160	3	1	PATIO
100025	COM5141	1	1	PATIO
100025	COM5407	1	1	PATIO
100025	COM5398	2	1	PATIO
100025	COM5590	3	1	PATIO
100025	TTS0028	1	1	PATIO
100025	COM0037	1	1	PATIO
100026	OFI0031	3	7	PATIO
100026	PRU002	2	1	PATIO
100026	OFI0276	1	7	PATIO
100026	OFI0042	5	7	PATIO
100026	OFI0077	2	7	PATIO
100026	OFI0174	2	7	PATIO
100026	OFI0051	2	7	PATIO
100026	OFI0089	1	7	PATIO
100026	OFI0040	3	7	PATIO
100026	OFI0028	3	7	PATIO
100026	OFI0260	1	7	PATIO
100026	PRU003	2	1	PATIO
100026	OFI0064	2	7	PATIO
100026	OFI0065	2	7	PATIO
100026	OFI0274	1	7	PATIO
100026	OFI0273	1	7	PATIO
100026	OFI0275	1	7	PATIO
100026	OFI0221	2	7	PATIO
100026	OFI0286	2	7	PATIO
100026	ABS0112	1	1	PATIO
100026	COM5424	1	1	PATIO
100026	COM5220	2	1	PATIO
100026	COM5468	3	1	PATIO
100026	COM5367	2	1	PATIO
100026	COM5585	1	1	PATIO
100026	COM5598	1	1	PATIO
100026	PRU010	1	1	PATIO
100026	COM001	1	1	PATIO
100026	OFI0069	1	7	PATIO
100026	ABS0373	4	1	PATIO
100026	OFI0252	1	7	PATIO
100026	OFI0306	2	7	PATIO
100026	ABS0425	2	1	PATIO
100026	OFI0219	2	7	PATIO
100026	COM5256	2	1	PATIO
100026	COM5245	1	1	PATIO
100026	QUI0090	1	1	PATIO
100026	QUI0173	1	1	PATIO
100026	QUI0144	1	1	PATIO
100026	QUI0572	1	1	PATIO
100026	QUI0080	1	1	PATIO
100026	COM5404	2	1	PATIO
100026	COM5103	5	1	PATIO
100026	COM5254	2	1	PATIO
100026	COM5253	2	1	PATIO
100026	COM5160	3	1	PATIO
100026	COM5141	1	1	PATIO
100026	COM5407	1	1	PATIO
100026	COM5398	2	1	PATIO
100026	COM5590	3	1	PATIO
100026	TTS0028	1	1	PATIO
100026	COM0037	1	1	PATIO
